# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "24" "-F" "GFF" "-t" "gene" "-g" "ID" "-s" "2" "-a" "/mnt/data/transcriptomica/iperez/proyectofinal/data/genomes/E_coli_and_T4_fixed.gff" "-o" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/featureCounts/gene_counts.txt" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam
gene-b0898	ENA|U00096|U00096.3	945871	947019	+	1149	22	130	88	94	328	94	391	567	968	876	1421	1787	536	2446	771
gene-b0899	ENA|U00096|U00096.3	947229	948659	+	1431	1	6	4	9	30	6	39	40	496	72	68	93	25	65	40
gene-b0900	ENA|U00096|U00096.3	948660	949568	-	909	5	21	12	34	54	16	50	51	224	194	265	339	91	294	190
gene-b0901	ENA|U00096|U00096.3	949668	950258	+	591	0	4	5	5	16	4	20	22	176	34	32	43	11	39	34
gene-b0902	ENA|U00096|U00096.3	950340	951080	-	741	352	1504	865	1561	3103	988	4171	4531	2523	9675	15248	16387	5697	17558	9851
gene-b0903	ENA|U00096|U00096.3	951272	953554	-	2283	30586	126175	67335	318441	453753	157764	613895	587866	282956	927971	1683181	1616112	431965	1238846	512552
gene-b0904	ENA|U00096|U00096.3	953609	954466	-	858	443	1468	1010	2621	4322	1610	5507	4757	3062	20759	24713	39797	13122	32611	22460
gene-b0905	ENA|U00096|U00096.3	954872	956632	-	1761	264	678	509	1828	2669	1327	5661	4423	3287	5910	5468	7306	4299	7808	7997
gene-b0906	ENA|U00096|U00096.3	956762	957454	+	693	5	15	9	12	28	9	27	31	327	127	181	295	72	184	148
gene-b0907	ENA|U00096|U00096.3	957653	958741	+	1089	833	2467	1656	3988	5713	1859	9140	7653	4130	21054	26215	32307	16538	38816	29120
gene-b0908	ENA|U00096|U00096.3	958812	960095	+	1284	358	906	633	1509	2145	788	4290	3237	2581	8662	9397	11087	5811	11534	9832
gene-b0909	ENA|U00096|U00096.3	960264	961028	+	765	1	15	15	21	35	20	59	72	130	175	191	292	112	251	210
gene-b0910	ENA|U00096|U00096.3	961201	961884	+	684	213	685	485	875	2016	743	3780	4148	2664	5833	7181	8987	3110	8037	5892
gene-b0911	ENA|U00096|U00096.3	961995	963668	+	1674	12742	34782	29563	73452	120879	56790	173557	138403	75480	161608	161643	236641	138184	281559	298695
gene-b0912	ENA|U00096|U00096.3	963828	964112	+	285	193	625	418	793	1652	573	1972	2694	1518	6231	8895	11248	3648	10475	7671
gene-b0913	ENA|U00096|U00096.3	964320	966584	+	2265	6	35	21	52	118	40	112	145	1240	283	398	656	184	418	364
gene-b0914	ENA|U00096|U00096.3	966621	968369	+	1749	301	947	676	1164	2201	836	4017	3585	2800	9220	10332	12673	5101	11981	8808
gene-b0915	ENA|U00096|U00096.3	968366	969352	+	987	127	404	274	582	962	449	2053	1855	1587	3542	3536	3899	1641	3235	3138
gene-b0916	ENA|U00096|U00096.3	969389	970621	+	1233	21	74	28	74	180	64	299	256	674	754	989	1133	364	710	633
gene-b0917	ENA|U00096|U00096.3	970673	970855	+	183	19	69	56	107	181	57	238	232	133	586	507	972	389	845	588
gene-b0918	ENA|U00096|U00096.3	970852	971598	+	747	189	615	466	847	1619	644	2626	2573	1698	5138	6753	8628	3374	8334	7116
gene-b0919	ENA|U00096|U00096.3	971752	972645	+	894	74	381	221	295	641	162	322	590	598	3135	7137	11359	2856	6226	5372
gene-b0920	ENA|U00096|U00096.3	972622	973401	-	780	6	19	13	22	49	21	71	69	284	160	219	297	95	317	177
gene-b0921	ENA|U00096|U00096.3	973537	974322	+	786	87	204	141	235	441	157	561	642	659	2265	3156	4419	1398	3713	3225
gene-b0922	ENA|U00096|U00096.3	974319	975641	+	1323	70	223	166	219	377	179	563	602	885	1955	2680	3665	1213	3340	2835
gene-b0923	ENA|U00096|U00096.3	975622	976326	+	705	66	168	120	229	411	165	753	673	640	1552	2094	2797	1131	2786	2481
gene-b0924	ENA|U00096|U00096.3	976326	980786	+	4461	599	1764	1361	2456	4142	1757	7576	6641	5972	15343	22654	29572	11591	26288	21063
gene-b0925	ENA|U00096|U00096.3	981047	982894	+	1848	152	551	358	540	1013	387	1061	1136	1342	5019	8135	11562	3743	8597	7586
gene-b0926	ENA|U00096|U00096.3	983075	983623	+	549	88	302	198	331	680	259	809	771	581	3598	4799	6969	2041	5232	4519
gene-b0927	ENA|U00096|U00096.3	983650	984297	+	648	182	531	387	768	1288	536	1705	1845	1322	4821	6948	8350	3254	8039	6141
gene-b0928	ENA|U00096|U00096.3	984519	985709	-	1191	564	1395	1034	2982	5037	1925	7174	8086	4165	9096	10785	13718	6195	16367	12185
gene-b0929	ENA|U00096|U00096.3	985894	986982	-	1089	139710	313153	311327	761841	882586	410623	1035516	837838	457999	1110995	1398065	2421268	839496	1688555	1628581
gene-b0930	ENA|U00096|U00096.3	987585	988985	-	1401	885	2353	1607	4193	6217	2450	13222	9905	6715	25155	28647	30998	14880	34317	25874
gene-b0931	ENA|U00096|U00096.3	989154	990356	-	1203	146	498	352	479	1064	363	1390	1467	1085	5653	7556	8837	3225	7905	6419
gene-b0932	ENA|U00096|U00096.3	990622	993234	+	2613	511	1455	863	2255	3246	1455	5954	5422	4038	9319	14610	18881	6904	18181	13622
gene-b0933	ENA|U00096|U00096.3	993277	994044	-	768	5	10	7	10	17	10	25	29	576	63	113	144	43	105	99
gene-b0934	ENA|U00096|U00096.3	994041	994832	-	792	2	1	1	3	6	0	6	3	353	15	15	20	13	19	19
gene-b0935	ENA|U00096|U00096.3	994843	995988	-	1146	4	11	16	17	39	16	23	52	485	41	88	108	33	114	85
gene-b0936	ENA|U00096|U00096.3	995985	996944	-	960	0	7	2	4	17	2	12	24	171	21	29	31	18	42	42
gene-b0937	ENA|U00096|U00096.3	996937	997512	-	576	0	5	2	3	9	4	7	18	101	8	17	18	3	11	15
gene-b0938	ENA|U00096|U00096.3	997868	998407	+	540	0	4	2	3	13	4	18	22	113	34	60	85	20	62	42
gene-b0939	ENA|U00096|U00096.3	998490	999191	+	702	0	1	1	2	6	1	3	4	145	13	15	14	7	11	2
gene-b0940	ENA|U00096|U00096.3	999216	1001816	+	2601	6	23	7	40	79	25	130	146	876	163	228	354	76	215	205
gene-b0941	ENA|U00096|U00096.3	1001807	1002877	+	1071	3	11	11	26	35	11	41	46	554	135	168	234	56	183	149
gene-b0942	ENA|U00096|U00096.3	1002889	1003431	+	543	1	6	7	5	9	4	15	13	124	27	65	69	26	72	41
gene-b0943	ENA|U00096|U00096.3	1003439	1003954	+	516	1	6	1	4	15	5	8	10	347	43	69	64	17	58	52
gene-b0944	ENA|U00096|U00096.3	1003947	1004657	+	711	4	10	9	17	20	3	22	34	224	107	156	226	72	181	153
gene-b0945	ENA|U00096|U00096.3	1004768	1005778	+	1011	101	351	209	340	705	245	1171	1187	822	2600	3056	3335	2046	4371	3238
gene-b0946	ENA|U00096|U00096.3	1005952	1006494	+	543	32	71	52	118	224	74	260	307	426	972	1000	1310	360	875	594
gene-b0947	ENA|U00096|U00096.3	1006491	1007600	-	1110	96	294	204	384	606	207	904	820	842	3016	3687	4617	1981	4305	3237
gene-b0948	ENA|U00096|U00096.3	1007844	1009952	+	2109	208	581	387	817	1764	730	3865	3899	3071	4186	4589	5078	2490	5876	4586
gene-b0949	ENA|U00096|U00096.3	1009964	1011871	+	1908	110	370	294	851	1668	762	2942	2708	2067	3690	4702	5700	2317	4974	4706
gene-b0950	ENA|U00096|U00096.3	1012001	1013254	+	1254	39	129	90	162	355	150	539	533	686	1282	1918	2654	834	2097	2278
gene-b0951	ENA|U00096|U00096.3	1013259	1014899	+	1641	88	238	173	300	556	202	844	745	924	2074	2317	3305	1661	3398	4060
gene-b0952	ENA|U00096|U00096.3	1014896	1015459	+	564	26	100	82	156	285	87	440	461	453	928	1120	1641	834	1483	1720
gene-b0953	ENA|U00096|U00096.3	1015715	1015882	+	168	103	227	216	274	400	237	251	354	339	709	1222	2608	501	1731	1212
gene-b0954	ENA|U00096|U00096.3	1015952	1016470	-	519	567	1754	1348	4197	7238	2962	11455	8890	6010	15979	17804	22274	9497	21299	17312
gene-b0955	ENA|U00096|U00096.3	1016539	1018299	-	1761	266	834	632	1171	2269	959	4199	4174	2998	6845	8764	10768	4194	10830	8443
gene-b0956	ENA|U00096|U00096.3	1018485	1018937	+	453	18	63	44	89	147	49	126	141	238	711	1050	1646	583	1250	1148
gene-b0957	ENA|U00096|U00096.3	1019013	1020053	-	1041	5345	15751	11347	36942	49694	19215	74438	63506	30021	94336	136807	174536	68806	185030	137593
gene-b0958	ENA|U00096|U00096.3	1020410	1020919	-	510	55	156	101	183	268	108	250	227	275	800	1070	1658	521	1182	1343
gene-b0959	ENA|U00096|U00096.3	1021138	1021767	+	630	6	17	18	31	52	18	43	68	366	236	374	660	150	420	353
gene-b0960	ENA|U00096|U00096.3	1021730	1023883	-	2154	80	187	150	241	447	155	710	638	935	1862	2097	2562	1162	2250	2076
gene-b0961	ENA|U00096|U00096.3	1023902	1024348	-	447	17	58	26	69	107	49	175	167	204	578	666	881	319	795	524
gene-b0962	ENA|U00096|U00096.3	1024471	1026525	+	2055	61	263	171	244	454	178	497	510	1178	2067	3188	4936	1632	3823	3781
gene-b0963	ENA|U00096|U00096.3	1026557	1027015	-	459	112	487	309	981	1476	636	1714	1765	1451	4373	7428	10538	3044	8152	5850
gene-b0964	ENA|U00096|U00096.3	1027111	1027773	-	663	0	4	3	6	7	4	12	17	199	59	78	116	40	74	68
gene-b0965	ENA|U00096|U00096.3	1027946	1028359	+	414	47	162	85	168	357	123	433	481	442	900	1562	2017	614	1783	1344
gene-b0966	ENA|U00096|U00096.3	1028404	1028721	-	318	111	375	288	657	1204	426	1779	1812	1036	2604	3739	4761	2066	4894	4642
gene-b0967	ENA|U00096|U00096.3	1028779	1029969	-	1191	120	332	259	581	1108	430	2290	2073	1533	2795	3149	3537	1663	4280	2971
gene-b0968	ENA|U00096|U00096.3	1030064	1030342	+	279	4	21	14	23	47	7	44	52	258	227	315	478	117	340	265
gene-b0969	ENA|U00096|U00096.3	1030339	1030668	-	330	36	126	84	158	360	118	601	549	423	1199	1601	2134	705	2027	1304
gene-b0970	ENA|U00096|U00096.3	1030759	1031418	-	660	125	461	328	478	1022	387	1511	1967	1288	3528	5177	6512	2162	5535	3805
gene-b0971	ENA|U00096|U00096.3	1031625	1031712	-	88	6	29	20	14	25	6	40	72	57	77	67	137	37	76	60
gene-b0972	ENA|U00096|U00096.3	1032139	1033257	+	1119	3	10	10	10	13	12	15	17	413	24	66	39	13	35	30
gene-b0973	ENA|U00096|U00096.3	1033254	1035047	+	1794	11	28	22	14	51	12	37	57	413	45	89	93	43	80	58
gene-b0974	ENA|U00096|U00096.3	1035066	1035773	+	708	3	8	5	6	14	6	5	13	349	25	43	44	12	43	28
gene-b0975	ENA|U00096|U00096.3	1035770	1036357	+	588	7	5	8	14	25	4	24	34	315	57	97	121	46	106	113
gene-b0976	ENA|U00096|U00096.3	1036354	1036752	+	399	0	5	5	9	6	6	12	18	165	33	59	78	26	47	52
gene-b0977	ENA|U00096|U00096.3	1036749	1037606	+	858	5	11	8	15	25	12	24	26	367	78	126	150	51	98	92
gene-b0978	ENA|U00096|U00096.3	1037740	1039284	+	1545	14	26	20	48	65	13	45	91	501	135	200	299	85	255	194
gene-b0979	ENA|U00096|U00096.3	1039296	1040432	+	1137	12	25	26	30	59	14	57	69	814	163	254	332	119	229	234
gene-b4592	ENA|U00096|U00096.3	1040445	1040537	+	93	0	3	3	5	12	3	5	9	30	27	41	55	25	63	29
gene-b0980	ENA|U00096|U00096.3	1040617	1041915	+	1299	15	50	22	41	68	22	63	73	350	284	423	646	220	533	494
gene-b0981	ENA|U00096|U00096.3	1042030	1044210	-	2181	6	44	34	64	99	53	160	152	683	575	856	1258	384	1066	910
gene-b0982	ENA|U00096|U00096.3	1044230	1044676	-	447	0	3	0	4	8	3	9	14	73	30	39	56	6	57	37
gene-b0983	ENA|U00096|U00096.3	1044664	1045803	-	1140	2	2	3	4	16	2	18	16	231	39	45	64	24	50	66
gene-b0984	ENA|U00096|U00096.3	1045849	1047945	-	2097	2	6	2	8	17	10	15	11	505	57	72	121	33	98	93
gene-b0985	ENA|U00096|U00096.3	1047945	1048691	-	747	1	0	1	1	2	2	8	9	79	17	17	18	6	18	15
gene-b0986	ENA|U00096|U00096.3	1048688	1049332	-	645	0	2	1	3	6	0	3	10	118	17	11	18	2	28	16
gene-b0987	ENA|U00096|U00096.3	1049439	1049744	-	306	1	19	11	21	32	15	42	49	161	69	154	218	82	197	188
gene-b4516	ENA|U00096|U00096.3	1049833	1050108	+	276	0	0	0	1	3	0	3	0	1	3	5	8	0	3	9
gene-b0988	ENA|U00096|U00096.3	1050027	1050530	+	504	3	6	7	4	17	5	30	19	28	72	86	141	28	65	98
gene-b0989	ENA|U00096|U00096.3	1050963	1051175	-	213	4	13	9	5	27	7	22	24	99	106	191	240	18	10	14
gene-b0990	ENA|U00096|U00096.3	1051461	1051673	+	213	62	398	195	447	1837	630	1566	2064	1410	2555	4615	4582	303	672	626
gene-b4723	ENA|U00096|U00096.3	1051684	1051872	+	189	47	240	121	250	1131	383	987	1241	808	1054	1814	1949	153	425	333
gene-b0991	ENA|U00096|U00096.3	1051847	1052077	+	231	0	2	2	3	11	3	14	10	19	34	48	42	8	16	9
gene-b4517	ENA|U00096|U00096.3	1052067	1052240	+	174	43	124	78	321	498	201	673	631	440	1650	2421	3221	1051	2970	2065
gene-b0992	ENA|U00096|U00096.3	1052289	1053362	-	1074	3	25	14	36	56	10	43	60	293	247	529	652	178	584	370
gene-b0993	ENA|U00096|U00096.3	1053434	1056178	-	2745	19	84	42	74	121	50	125	149	777	685	1180	1359	383	1165	724
gene-b0994	ENA|U00096|U00096.3	1056261	1057289	+	1029	12	44	20	25	77	26	64	61	645	335	577	817	210	541	426
gene-b0995	ENA|U00096|U00096.3	1057262	1057954	-	693	12	43	23	42	61	35	73	94	339	400	527	824	281	705	700
gene-b0996	ENA|U00096|U00096.3	1058084	1059256	+	1173	2	3	2	2	9	3	11	8	314	22	45	44	14	46	33
gene-b0997	ENA|U00096|U00096.3	1059256	1061802	+	2547	2	27	13	22	38	11	38	49	1087	147	225	317	109	273	256
gene-b0998	ENA|U00096|U00096.3	1061799	1062398	+	600	3	3	1	6	12	5	11	20	220	53	86	144	46	80	81
gene-b0999	ENA|U00096|U00096.3	1062550	1062855	-	306	17	57	41	51	107	39	99	91	230	367	582	943	328	827	722
gene-b1000	ENA|U00096|U00096.3	1062855	1063775	-	921	23	112	78	109	200	84	233	237	311	919	1458	2252	694	1645	1553
gene-b1001	ENA|U00096|U00096.3	1064036	1065292	+	1257	1	4	0	1	5	1	2	7	215	16	24	10	10	10	6
gene-b1002	ENA|U00096|U00096.3	1065585	1066826	+	1242	20	90	56	135	237	102	242	308	520	673	1338	1748	441	1254	936
gene-b1003	ENA|U00096|U00096.3	1066864	1067091	-	228	67	216	176	296	625	212	407	666	491	1755	3760	4515	974	3800	1830
gene-b1004	ENA|U00096|U00096.3	1067112	1067708	-	597	82	256	196	243	511	148	291	605	398	1887	3270	4880	1334	4303	2336
gene-b4518	ENA|U00096|U00096.3	1068081	1068254	+	174	3	8	3	9	28	13	28	25	62	66	94	175	49	129	89
gene-b1006	ENA|U00096|U00096.3	1068511	1069839	-	1329	5	9	4	12	18	11	24	29	779	66	103	206	65	144	160
gene-b1007	ENA|U00096|U00096.3	1069860	1070354	-	495	1	1	1	2	7	1	3	10	170	19	22	23	19	39	51
gene-b1008	ENA|U00096|U00096.3	1070365	1070955	-	591	1	1	1	1	1	1	2	1	51	3	11	12	8	14	16
gene-b1009	ENA|U00096|U00096.3	1070965	1071765	-	801	1	4	5	3	3	5	1	8	224	17	26	46	17	45	46
gene-b1010	ENA|U00096|U00096.3	1071773	1072159	-	387	1	0	1	0	2	0	1	4	67	7	11	13	4	16	16
gene-b1011	ENA|U00096|U00096.3	1072171	1072863	-	693	1	1	2	0	3	0	1	1	177	5	5	21	6	15	23
gene-b1012	ENA|U00096|U00096.3	1072863	1074011	-	1149	0	3	3	4	9	1	5	8	214	9	19	28	13	28	38
gene-b1013	ENA|U00096|U00096.3	1074242	1074880	+	639	22	50	45	73	128	43	156	170	463	484	794	1026	354	940	702
gene-b1014	ENA|U00096|U00096.3	1074920	1078882	-	3963	198	335	364	1203	907	652	2487	1206	2176	3373	2620	6940	5382	6136	13661
gene-b4737	ENA|U00096|U00096.3	1079120	1079146	+	27	1	0	0	0	1	0	3	2	13	5	2	13	10	10	2
gene-b1015	ENA|U00096|U00096.3	1079305	1080813	+	1509	53	69	99	196	259	115	521	429	973	695	628	1118	601	1254	1239
gene-b1018	ENA|U00096|U00096.3	1082243	1083370	+	1128	23	46	46	71	162	61	261	233	687	354	323	625	412	734	1790
gene-b1019	ENA|U00096|U00096.3	1083376	1084647	+	1272	33	33	43	72	151	50	213	202	698	402	478	897	528	660	2312
gene-b1020	ENA|U00096|U00096.3	1084992	1086056	+	1065	78	117	175	191	205	122	205	167	410	366	414	977	294	645	1192
gene-b1021	ENA|U00096|U00096.3	1086106	1086519	-	414	5	8	5	18	24	10	45	52	86	67	66	88	19	80	57
gene-b1022	ENA|U00096|U00096.3	1086521	1087846	-	1326	3	5	5	7	15	2	17	33	373	47	52	77	19	64	31
gene-b1023	ENA|U00096|U00096.3	1087839	1089857	-	2019	1	3	2	6	13	7	21	21	299	56	67	93	33	52	54
gene-b1024	ENA|U00096|U00096.3	1089866	1092289	-	2424	4	13	6	20	28	16	54	56	514	166	197	292	83	131	138
gene-b1025	ENA|U00096|U00096.3	1092876	1094234	+	1359	8	16	16	50	81	27	89	77	350	288	328	658	130	253	298
gene-b1026	ENA|U00096|U00096.3	1094275	1095141	-	867	0	0	0	2	0	0	3	5	12	7	8	13	5	8	9
gene-b1027	ENA|U00096|U00096.3	1095138	1095437	-	300	0	0	0	0	0	0	1	0	6	0	1	2	0	3	0
gene-b1029	ENA|U00096|U00096.3	1095843	1096829	+	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1032	ENA|U00096|U00096.3	1097565	1097652	-	88	0	1	1	2	2	1	3	13	22	15	19	36	6	19	29
gene-b1033	ENA|U00096|U00096.3	1097886	1098824	+	939	160	456	386	737	1221	508	1751	1691	1432	4648	6002	9274	3659	8207	8144
gene-b1034	ENA|U00096|U00096.3	1098879	1099616	+	738	156	508	344	619	1137	467	1874	1613	1468	4888	6534	8640	3525	8513	6319
gene-b1035	ENA|U00096|U00096.3	1099640	1100194	+	555	160	494	343	857	1366	535	2321	1939	1421	4139	5656	6946	2743	6478	4982
gene-b1036	ENA|U00096|U00096.3	1100296	1100787	+	492	88	257	171	449	862	311	1575	1519	1190	2744	3922	4844	1689	4276	3448
gene-b1037	ENA|U00096|U00096.3	1100851	1101684	-	834	0	9	4	16	14	7	21	30	257	75	114	176	41	111	110
gene-b1038	ENA|U00096|U00096.3	1101711	1102127	-	417	0	0	0	0	0	0	1	1	38	2	1	2	0	5	4
gene-b1039	ENA|U00096|U00096.3	1102152	1102541	-	390	0	1	2	0	1	2	2	3	76	2	10	5	1	2	1
gene-b1040	ENA|U00096|U00096.3	1102546	1103196	-	651	1	4	1	7	3	7	10	12	59	23	36	47	12	25	24
gene-b1041	ENA|U00096|U00096.3	1103951	1104406	+	456	0	5	2	6	8	1	6	13	80	34	38	63	20	39	39
gene-b1042	ENA|U00096|U00096.3	1104447	1104902	+	456	2	9	13	16	38	21	51	44	135	97	140	199	61	150	156
gene-b1043	ENA|U00096|U00096.3	1104961	1105293	+	333	17	18	25	50	49	37	98	42	103	149	87	233	107	118	162
gene-b1044	ENA|U00096|U00096.3	1105414	1105725	+	312	7	14	15	37	42	27	116	75	148	321	231	526	198	341	344
gene-b1045	ENA|U00096|U00096.3	1105820	1106353	+	534	21	32	37	74	95	56	138	106	278	359	432	765	301	537	546
gene-b1046	ENA|U00096|U00096.3	1106355	1107776	+	1422	24	66	56	98	168	67	184	208	644	591	913	1402	391	839	909
gene-b1047	ENA|U00096|U00096.3	1107784	1108941	-	1158	17	72	42	48	149	49	271	282	378	442	585	630	232	343	284
gene-b1048	ENA|U00096|U00096.3	1109335	1110870	+	1536	361	1060	728	1686	2989	1271	4401	4412	3557	8958	10984	14557	5704	12911	10839
gene-b1049	ENA|U00096|U00096.3	1110863	1113406	+	2544	469	1401	988	2071	3286	1424	6517	5752	4513	12400	16809	18192	8833	17614	15668
gene-b1050	ENA|U00096|U00096.3	1113579	1113806	+	228	2	6	3	10	15	3	25	28	92	60	103	138	30	57	69
gene-b1051	ENA|U00096|U00096.3	1113807	1114181	-	375	24	68	29	55	124	43	106	158	350	513	929	1440	274	976	631
gene-b1053	ENA|U00096|U00096.3	1114264	1115490	-	1227	38	195	104	128	310	113	301	351	511	1413	2550	4121	908	2016	2222
gene-b1054	ENA|U00096|U00096.3	1115662	1116582	-	921	170	487	357	472	951	392	1619	1808	1386	3110	4428	6376	2555	6286	5683
gene-b1055	ENA|U00096|U00096.3	1116807	1117859	+	1053	32	95	63	89	245	77	489	581	677	636	818	1093	316	636	726
gene-b1056	ENA|U00096|U00096.3	1117901	1118476	-	576	13	32	27	41	68	31	100	72	163	362	429	822	360	653	733
gene-b1057	ENA|U00096|U00096.3	1118480	1119046	-	567	5	9	7	11	18	8	25	24	89	92	87	141	30	91	91
gene-b1058	ENA|U00096|U00096.3	1119307	1119447	-	141	0	2	0	3	4	1	7	6	36	15	32	37	8	7	12
gene-b1059	ENA|U00096|U00096.3	1119468	1120586	-	1119	101	348	233	462	643	239	1121	1076	729	2870	3785	4598	2073	5526	4237
gene-b1060	ENA|U00096|U00096.3	1120701	1120955	-	255	73	185	171	452	744	289	946	850	597	1501	2025	2988	694	2182	1296
gene-b1061	ENA|U00096|U00096.3	1121242	1121487	-	246	15	53	41	77	138	44	163	179	113	414	496	764	359	680	649
gene-b1062	ENA|U00096|U00096.3	1121561	1122607	-	1047	103	245	152	223	413	134	644	625	435	1403	1749	1966	1279	2466	2353
gene-b1063	ENA|U00096|U00096.3	1122713	1123273	-	561	48	143	97	132	333	118	375	380	306	1893	2891	3735	1053	2952	2326
gene-b1064	ENA|U00096|U00096.3	1123407	1124054	-	648	61	292	164	333	560	214	535	584	410	2520	4833	6030	1749	4782	3116
gene-b1065	ENA|U00096|U00096.3	1124118	1125326	-	1209	19	79	57	72	143	55	125	136	508	563	930	1537	388	932	855
gene-b1066	ENA|U00096|U00096.3	1125562	1126146	+	585	43	118	87	159	272	79	311	298	316	1414	1969	3088	1102	2822	2433
gene-b1067	ENA|U00096|U00096.3	1126157	1126804	+	648	40	121	72	124	181	75	236	232	280	1098	1451	2420	867	2137	1929
gene-b1068	ENA|U00096|U00096.3	1126806	1127729	+	924	44	147	68	143	218	80	253	244	634	1083	1584	2359	979	1816	1900
gene-b1069	ENA|U00096|U00096.3	1127839	1129374	+	1536	68	228	140	203	433	173	649	710	835	1564	2040	2454	943	2340	1783
gene-b1070	ENA|U00096|U00096.3	1129414	1129830	-	417	107	231	200	281	421	207	494	452	373	3405	3851	6628	2154	3827	6652
gene-b1071	ENA|U00096|U00096.3	1129835	1130128	-	294	95	220	198	253	394	220	433	427	314	2541	2751	4953	2101	3909	5078
gene-b1072	ENA|U00096|U00096.3	1130204	1130863	-	660	231	413	392	582	885	339	1036	968	954	5073	4519	9123	4202	7897	7986
gene-b1073	ENA|U00096|U00096.3	1131018	1131434	+	417	596	1671	1359	2291	3044	1374	4316	3295	2766	18376	22538	42557	15953	28523	32048
gene-b1074	ENA|U00096|U00096.3	1131438	1131842	+	405	500	1486	1151	1794	2569	1091	3778	2996	2203	16028	18708	37048	12852	23102	27176
gene-b1075	ENA|U00096|U00096.3	1131854	1132549	+	696	1110	2926	2256	3900	5062	2568	9564	6856	5941	30638	34384	67116	22854	41222	47417
gene-b1076	ENA|U00096|U00096.3	1132574	1133782	+	1209	1924	4793	4009	8618	11462	5950	22924	16358	14469	48760	55770	107519	35609	67737	69547
gene-b1077	ENA|U00096|U00096.3	1133802	1134557	+	756	1217	3288	2728	6198	7527	4047	16775	12092	11173	31356	36399	70445	23137	42166	44441
gene-b1078	ENA|U00096|U00096.3	1134729	1135511	+	783	974	2797	2286	5188	6771	3485	14244	11038	9061	24308	27298	52740	15881	32705	30102
gene-b1079	ENA|U00096|U00096.3	1135564	1136262	+	699	496	1291	1065	1733	2656	1323	5491	3953	3935	13794	15663	30062	8585	15908	14405
gene-b1080	ENA|U00096|U00096.3	1136274	1137371	+	1098	530	1380	1190	1659	2603	1291	5071	4022	3664	14345	15425	29102	8928	17738	15072
